
[2026-04-14T01:22:08.4348772+08:00] ===== Sts2MapMod session start =====
[2026-04-14T01:22:08.4608801+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4615419+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4621947+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.8402089+08:00] [INFO] RouteAnalysisPanel: requireShop toggled on=False manualOverride=True
[2026-04-14T01:22:08.8439380+08:00] [INFO] RouteAnalysisPanel: RefreshForScreen requireShop=False filtered=129/129 elapsedMs=3
[2026-04-14T01:22:08.8931290+08:00] [INFO] RouteAnalysisPanel: RefreshForScreen rebuiltRows stateKey=0|3|0|1|0|67|80|24 elapsedMs=52
[2026-04-14T01:22:08.8979541+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(58, 38) chipMin=(58, 36) iconPos=(0, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(0, 0) labelSize=(8, 20)
[2026-04-14T01:22:08.8988304+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(58, 38) chipMin=(58, 36) iconPos=(0, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(0, 0) labelSize=(8, 20)
[2026-04-14T01:22:08.8995225+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(58, 38) chipMin=(58, 36) iconPos=(0, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(0, 0) labelSize=(8, 20)
[2026-04-14T01:22:08.9000570+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(58, 38) chipMin=(58, 36) iconPos=(0, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(0, 0) labelSize=(8, 20)
[2026-04-14T01:22:08.9008182+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(58, 38) chipMin=(58, 36) iconPos=(0, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(0, 0) labelSize=(8, 20)
[2026-04-14T01:22:08.9015640+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(58, 38) chipMin=(58, 36) iconPos=(0, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(0, 0) labelSize=(8, 20)
[2026-04-14T01:22:08.9035725+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9042200+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9047209+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9052522+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9059135+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9065353+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9090762+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.9098296+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
